Candidate Rank,Priority Tier,Center Name,City,State/Country,Organization Type,Primary Wildlife Focus,Website URL,Link Hub URL,Facebook Handle,Facebook URL,Instagram Handle,Instagram URL,TikTok Handle,TikTok URL,YouTube Handle,YouTube URL,X / Other URL,Known Social URL Count,Verification Status,Inclusion Rationale,Source URL,Apify Search Query,FB Followers,IG Followers,TikTok Followers,YouTube Subscribers,Recent Posts 30D,Avg Engagement / Post,Last Scraped Date,Scrape Notes
90,C,Ojai Raptor Center,Ojai,CA,Raptor rehabilitation center,"Raptors and wildlife; rehabilitation, release, education",https://www.ojairaptorcenter.org/,,@OjaiRaptorCenter,https://www.facebook.com/OjaiRaptorCenter,@ojairaptorcenter,https://www.instagram.com/ojairaptorcenter/,@ojairaptorcenter,https://www.tiktok.com/@ojairaptorcenter,@OjaiRaptorCenter,https://www.youtube.com/@OjaiRaptorCenter,,4,High-confidence official seed; verify platform-specific URLs,Raptor rehab source with visual patient/release content,https://www.ojairaptorcenter.org/,"""Ojai Raptor Center"" wildlife rehabilitation official social media",,,,,,,,
91,C,Bird Rescue Center,Santa Rosa,CA,Wild bird rehabilitation center,"Wild birds; rescue, rehab, release",https://birdrescuecenter.org/,,@birdrescuecenter,https://www.facebook.com/birdrescuecenter,@birdrescuecenter,https://www.instagram.com/birdrescuecenter/,@birdrescuecenter,https://www.tiktok.com/@birdrescuecenter,@BirdRescueCenter,https://www.youtube.com/@BirdRescueCenter,,4,High-confidence official seed; verify platform-specific URLs,Specialized wild bird rehab center in Northern California,https://birdrescuecenter.org/,"""Bird Rescue Center"" wildlife rehabilitation official social media",,,,,,,,
92,C,Sonoma County Wildlife Rescue,Petaluma,CA,Wildlife rescue / rehabilitation,"Native wildlife rescue, rehab, exclusion education",https://scwildliferescue.org/,,@SCWildlifeRescue,https://www.facebook.com/SCWildlifeRescue,@sonomacountywildliferescue,https://www.instagram.com/sonomacountywildliferescue/,@sonomacountywildliferescue,https://www.tiktok.com/@sonomacountywildliferescue,@SonomaCountyWildlifeRescue,https://www.youtube.com/@SonomaCountyWildlifeRescue,,4,High-confidence official seed; verify platform-specific URLs,High-activity county wildlife rescue and coexistence content,https://scwildliferescue.org/,"""Sonoma County Wildlife Rescue"" wildlife rehabilitation official social media",,,,,,,,
93,C,Gold Country Wildlife Rescue,Auburn,CA,Wildlife rehabilitation center,Sierra foothills native wildlife; rehab and education,https://goldcountrywildliferescue.org/,,@GoldCountryWildlifeRescue,https://www.facebook.com/GoldCountryWildlifeRescue,@goldcountrywildliferescue,https://www.instagram.com/goldcountrywildliferescue/,@goldcountrywildliferescue,https://www.tiktok.com/@goldcountrywildliferescue,@GoldCountryWildlifeRescue,https://www.youtube.com/@GoldCountryWildlifeRescue,,4,High-confidence official seed; verify platform-specific URLs,Important Northern California rehab source with patient content,https://goldcountrywildliferescue.org/,"""Gold Country Wildlife Rescue"" wildlife rehabilitation official social media",,,,,,,,
94,C,Native Animal Rescue,Santa Cruz,CA,Wildlife rehabilitation center,"Wild birds, mammals, reptiles; native wildlife rehabilitation",https://nativeanimalrescue.org/,,@NativeAnimalRescue,https://www.facebook.com/NativeAnimalRescue,@nativeanimalrescue,https://www.instagram.com/nativeanimalrescue/,@nativeanimalrescue,https://www.tiktok.com/@nativeanimalrescue,@NativeAnimalRescue,https://www.youtube.com/@NativeAnimalRescue,,4,High-confidence official seed; verify platform-specific URLs,Central Coast rehab organization with education potential,https://nativeanimalrescue.org/,"""Native Animal Rescue"" wildlife rehabilitation official social media",,,,,,,,
95,C,Yggdrasil Urban Wildlife Rescue,Oakland,CA,Urban wildlife rescue / rehab,Urban wildlife rescue and rehabilitation,https://yuwr.org/,,@YggdrasilUrbanWildlifeRescue,https://www.facebook.com/YggdrasilUrbanWildlifeRescue,@yggdrasilurbanwildlife,https://www.instagram.com/yggdrasilurbanwildlife/,@yggdrasilurbanwildlife,https://www.tiktok.com/@yggdrasilurbanwildlife,@YggdrasilUrbanWildlife,https://www.youtube.com/@YggdrasilUrbanWildlife,,4,Needs verification; use social finder on website and name,Urban wildlife perspective; useful for human-wildlife coexistence,https://yuwr.org/,"""Yggdrasil Urban Wildlife Rescue"" wildlife rehabilitation official social media",,,,,,,,
96,C,Turtle Ridge Wildlife Center,Salem,OR,Wildlife rehabilitation center,Oregon native wildlife; rehab and education,https://turtleridgewildlifecenter.org/,,@TurtleRidgeWildlifeCenter,https://www.facebook.com/TurtleRidgeWildlifeCenter,@turtleridgewildlife,https://www.instagram.com/turtleridgewildlife/,@turtleridgewildlife,https://www.tiktok.com/@turtleridgewildlife,@TurtleRidgeWildlife,https://www.youtube.com/@TurtleRidgeWildlife,,4,High-confidence official seed; verify platform-specific URLs,Useful Oregon mammal/bird/reptile rehab source,https://turtleridgewildlifecenter.org/,"""Turtle Ridge Wildlife Center"" wildlife rehabilitation official social media",,,,,,,,
97,C,Badger Run Wildlife Rehab,Klamath Falls,OR,Wildlife rehabilitation center,Injured and orphaned wildlife; education,https://www.badgerrun.org/,,@BadgerRunWildlifeRehab,https://www.facebook.com/BadgerRunWildlifeRehab,@badgerrunwildliferehab,https://www.instagram.com/badgerrunwildliferehab/,,,@BadgerRunWildlifeRehab,https://www.youtube.com/@BadgerRunWildlifeRehab,,3,Official website search snippet confirmed; verify social URLs,Regional Oregon rehab center; included for geographic breadth,https://www.badgerrun.org/,"""Badger Run Wildlife Rehab"" wildlife rehabilitation official social media",,,,,,,,
98,C,"Nebraska Wildlife Rehab, Inc.",Omaha,NE,Wildlife rehabilitation center,Nebraska wildlife rehabilitation and education,https://nebraskawildliferehab.org/,,@NebraskaWildlifeRehab,https://www.facebook.com/NebraskaWildlifeRehab,@nebraskawildliferehab,https://www.instagram.com/nebraskawildliferehab/,@nebraskawildliferehab,https://www.tiktok.com/@nebraskawildliferehab,@NebraskaWildlifeRehab,https://www.youtube.com/@NebraskaWildlifeRehab,,4,High-confidence official seed; verify platform-specific URLs,Key Nebraska wildlife rehab organization,https://nebraskawildliferehab.org/,"""Nebraska Wildlife Rehab, Inc."" wildlife rehabilitation official social media",,,,,,,,
99,C,Fontenelle Forest Raptor Recovery,Omaha,NE,Raptor rehabilitation program,"Raptor rescue, rehabilitation, education",https://fontenelleforest.org/raptor-recovery/,,@RaptorRecoveryNE,https://www.facebook.com/RaptorRecoveryNE,@fontenelleforestraptorrecovery,https://www.instagram.com/fontenelleforestraptorrecovery/,@fontenelleforestraptorrecovery,https://www.tiktok.com/@fontenelleforestraptorrecovery,@RaptorRecoveryNE,https://www.youtube.com/@RaptorRecoveryNE,,4,Needs verification; may use parent Fontenelle Forest accounts,Regional raptor rehab program with education content,https://fontenelleforest.org/raptor-recovery/,"""Fontenelle Forest Raptor Recovery"" wildlife rehabilitation official social media",,,,,,,,
100,C,Iowa Bird Rehabilitation,Iowa City,IA,Wild bird rehabilitation center,Wild birds; rehabilitation and education,https://iowabirdrehab.org/,,@IowaBirdRehab,https://www.facebook.com/IowaBirdRehab,@iowabirdrehab,https://www.instagram.com/iowabirdrehab/,@iowabirdrehab,https://www.tiktok.com/@iowabirdrehab,@IowaBirdRehab,https://www.youtube.com/@IowaBirdRehab,,4,High-confidence official seed; verify platform-specific URLs,Specialized bird rehab source; geographic breadth,https://iowabirdrehab.org/,"""Iowa Bird Rehabilitation"" wildlife rehabilitation official social media",,,,,,,,
